|diff|    p a b ord est
  217219289923   12267331284641060207 10186548699567177312 5558276716018223328 12267331278226369725 12267331495445659648
  76332090270   15365718905568543277 3590137996338775696 1977206589069796451 15365718902302620770 15365718978634711040
  16711283233   9639718628435014751 7680603665264180117 3356856391914182013 9639718624097858081 9639718607386574848
  295379925492   15533481070891555501 12896337778568670891 6581893357989048956 15533481067909219852 15533481363289145344
  463886311880   16393324101326779267 5069084032287878706 16206686538939203957 16393324109352100296 16393323645465788416
  4779893104   11787257240593224937 8348534006972861185 1686268366534676563 11787257235747856752 11787257230967963648
  91924149145   16112780046722371193 8161414615980545947 5328926693939249062 16112780047028007833 16112779955103858688
  132481620566   17807262478076285537 7085655560845248990 13534254951506348943 17807262480955270570 17807262613436891136
  325932280646   16680432845002680617 1658984514857155405 9431708358343526086 16680432845689449286 16680432519757168640
  541393488097   10166524873230804083 941137308588660997 2436073419164042406 10166524873186146079 10166525414579634176
  104862712243   10080748007209714973 3581391639180557429 9256908740720350564 10080748009587605069 10080748114450317312
  387617724397   12239007362564869499 2161629664498990845 9088863751668824755 12239007364020246509 12239006976402522112
  489304079462   9367563580089227321 8101061102365007053 7706739547558232638 9367563580537027686 9367563091232948224
  141989705520   10317511308860902529 371906318947497002 1585549825318118094 10317511308827756752 10317511450817462272
  283595762540   16194082526033385559 13910675056018506987 3090775299762043930 16194082526503889772 16194082242908127232
  245754189267   10215958603834229783 8950730148379925707 6064881327818069488 10215958603607004627 10215958357852815360
  76101136247   14256896612292315343 10942223000981679856 11611178611265533054 14256896610293567625 14256896686394703872
  535008338776   12958805031305041457 6286424263956250059 3263243851855198379 12958805027052625064 12958805562060963840
  552584433899   14587430226194138581 5823894332186563122 11631988463970389175 14587430219840663317 14587430772425097216
  538294169862   16587997110807829841 4596452566532664610 14418553678053116001 16587997115504210182 16587996577210040320
  49653378795   18103709694974324923 11371906409460630678 17021136789638297770 18103709689636351723 18103709639982972928
  196425937768   12261838531135937827 7438971670186600119 2553627343153878947 12261838531779228520 12261838335353290752
  165315029670   17799978519798916201 11491976169455786655 13661287706714949813 17799978514217904806 17799978348902875136
  15036762334   17953027079553862771 7457190707116190995 4287823605680556837 17953027083991173342 17953027068954411008
  447936811052   17112465373453970287 2639998609952555847 8137182525599311074 17112465374745636820 17112465822682447872
  185447488839   12583021262081851883 5467417794286093892 5826688598761779573 12583021260436938055 12583021074989449216
  80050352161   10405221611001853751 9878692718148868848 2920258382775556862 10405221612338057183 10405221692388409344
  46362467473   13883249702640147229 10598274705227899336 12665708558074603305 13883249696290053265 13883249649927585792
  143968037814   10801521823772226163 2820019471692701954 1554669999075581327 10801521822954558538 10801521966922596352
